ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
"212977970808238080"|Hugommachado|"player"|"198"||""|"#Ronaldo #Euro2012 #dislike http://t.co/SPg9dXKN FRACO.... MUITO FRACO"|"#Ronaldo #Euro2012 #dislike http://t.co/SPg9dXKN FRACO.... MUITO FRACO"
"212977829569241088"|mrpeartree|"team"|"7158"||""|"Quem foi o homem do jogo no #Portugal vs #Dinamarca ? #Euro2012 ?"|"Quem foi o homem do jogo no #Portugal vs #Dinamarca ? #Euro2012 ?"
"212977829569241088"|mrpeartree|"team"|"7184"||""|"Quem foi o homem do jogo no #Portugal vs #Dinamarca ? #Euro2012 ?"|"Quem foi o homem do jogo no #Portugal vs #Dinamarca ? #Euro2012 ?"
"212977780164526080"|Hugommachado|"player"|"128"||""|"#Pepe #Euro2012 #like http://t.co/MUcPE9N1 GRANDE JOGO PEPE... FOSTE GRANDE :)"|"#Pepe #Euro2012 #like http://t.co/MUcPE9N1 GRANDE JOGO PEPE... FOSTE GRANDE :)"
"212976742372089856"|anaf_maia|"team"|"7183"||""|"RT @chiarazucconi: #Euro2012 #Russia … 6 punti di penalizzazione ne toglierei 1000 a #ucraina e #Polonia per la strage di cani e gatti"|"RT @chiarazucconi: #Euro2012 #Russia … 6 punti di penalizzazione ne toglierei 1000 a #ucraina e #Polonia per la strage di cani e gatti"
"212976742372089856"|anaf_maia|"team"|"7146"||""|"RT @chiarazucconi: #Euro2012 #Russia … 6 punti di penalizzazione ne toglierei 1000 a #ucraina e #Polonia per la strage di cani e gatti"|"RT @chiarazucconi: #Euro2012 #Russia … 6 punti di penalizzazione ne toglierei 1000 a #ucraina e #Polonia per la strage di cani e gatti"
"212976657022193664"|anaf_maia|"team"|"7171"||""|"RT @cuccefelici: #Italia vs #Ucraina un #confronto di #civiltà http://t.co/sIgu49GU #Euro2012 #strage #cani #randagi #animali #Brambilla"|"RT @cuccefelici: #Italia vs #Ucraina un #confronto di #civiltà http://t.co/sIgu49GU #Euro2012 #strage #cani #randagi #animali #Brambilla"
"212976363836153856"|Jspbs|"team"|"7184"||""|"RT @JornalNoticias: Termina o jogo na Ucrânia. Portugal venceu a Dinamarca por 3-2 #Portugal #Euro2012"|"RT @JornalNoticias: Termina o jogo na Ucrânia. Portugal venceu a Dinamarca por 3-2 #Portugal #Euro2012"
"212976270806495233"|pepebento|"team"|"7184"||""|"Aí minha mãe ..... #aguentaselecao #Portugal #Euro2012"|"Aí minha mãe ..... #aguentaselecao #Portugal #Euro2012"
"212975710409719808"|anafilipag|"team"|"7184"||""|"que sofrimento! #Portugal #Euro2012"|"que sofrimento! #Portugal #Euro2012"
"212975594328166400"|MaxCoutinho1977|"team"|"7184"||""|"#Euro2012: #Denmark 2- 3 #Portugal. Congratulations, Lusitanian Warriors! Keep it up and make us proud!! http://t.co/xNnmESVf"|"#Euro2012: #Denmark 2- 3 #Portugal. Congratulations, Lusitanian Warriors! Keep it up and make us proud!! http://t.co/xNnmESVf"
"212975594328166400"|MaxCoutinho1977|"team"|"7158"||""|"#Euro2012: #Denmark 2- 3 #Portugal. Congratulations, Lusitanian Warriors! Keep it up and make us proud!! http://t.co/xNnmESVf"|"#Euro2012: #Denmark 2- 3 #Portugal. Congratulations, Lusitanian Warriors! Keep it up and make us proud!! http://t.co/xNnmESVf"
"212975468381614082"|NP_Lima|"team"|"7184"||""|"#Euro2012 Incha, polvo! #Portugal http://t.co/ODPziP56"|"#Euro2012 Incha, polvo! #Portugal http://t.co/ODPziP56"
"212975419396341760"|Silvestreacord|"team"|"7184"||""|"RT @euRafa: Esta jornalista na #SIC está a ficar inebriada só do bafo dos adeptos! #euro2012 #portugal"|"RT @euRafa: Esta jornalista na #SIC está a ficar inebriada só do bafo dos adeptos! #euro2012 #portugal"
